Date,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
3-Oct-97,6375
10-Oct-97,6371
17-Oct-97,6408
24-Oct-97,6407
31-Oct-97,6400
7-Nov-97,6418
14-Nov-97,6385
21-Nov-97,6390
28-Nov-97,6416
5-Dec-97,6448
12-Dec-97,6440
19-Dec-97,6463
26-Dec-97,6462
2-Jan-98,6459
9-Jan-98,6430
16-Jan-98,6376
23-Jan-98,6359
30-Jan-98,6377
6-Feb-98,6412
13-Feb-98,6424
20-Feb-98,6415
27-Feb-98,6368
6-Mar-98,6440
13-Mar-98,6420
20-Mar-98,6336
27-Mar-98,6405
3-Apr-98,6443
10-Apr-98,6407
17-Apr-98,6417
24-Apr-98,6397
1-May-98,6422
8-May-98,6422
15-May-98,6378
22-May-98,6368
29-May-98,6346
5-Jun-98,6333
12-Jun-98,6372
19-Jun-98,6383
26-Jun-98,6269
3-Jul-98,6311
10-Jul-98,6354
17-Jul-98,6351
24-Jul-98,6354
31-Jul-98,6340
7-Aug-98,6336
14-Aug-98,6319
21-Aug-98,6315
28-Aug-98,6346
4-Sep-98,6349
11-Sep-98,6366
18-Sep-98,6411
25-Sep-98,6396
2-Oct-98,5950
9-Oct-98,6368
16-Oct-98,6418
23-Oct-98,6442
30-Oct-98,6417
6-Nov-98,6398
13-Nov-98,6401
20-Nov-98,6399
27-Nov-98,6401
4-Dec-98,6390
11-Dec-98,6390
18-Dec-98,6449
25-Dec-98,6437
1-Jan-99,6342
8-Jan-99,6393
15-Jan-99,6373
22-Jan-99,6352
29-Jan-99,6363
5-Feb-99,6369
12-Feb-99,6052
19-Feb-99,5899
26-Feb-99,5911
5-Mar-99,5920
12-Mar-99,5895
19-Mar-99,5894
26-Mar-99,5864
2-Apr-99,5879
9-Apr-99,5740
16-Apr-99,5849
23-Apr-99,5707
30-Apr-99,5877
7-May-99,5835
14-May-99,5804
21-May-99,5857
28-May-99,5845
4-Jun-99,5864
11-Jun-99,5868
18-Jun-99,5926
25-Jun-99,5884
2-Jul-99,5662
9-Jul-99,5808
16-Jul-99,5952
23-Jul-99,5927
30-Jul-99,5898
6-Aug-99,5925
13-Aug-99,5950
20-Aug-99,5970
27-Aug-99,5994
3-Sep-99,6014
10-Sep-99,5917
17-Sep-99,5692
24-Sep-99,5973
1-Oct-99,6032
8-Oct-99,6082
15-Oct-99,6090
22-Oct-99,6101
29-Oct-99,6111
5-Nov-99,6134
12-Nov-99,6128
19-Nov-99,6059
26-Nov-99,6006
3-Dec-99,6087
10-Dec-99,6057
17-Dec-99,6043
24-Dec-99,6058
31-Dec-99,6043
7-Jan-00,6000
14-Jan-00,6019
21-Jan-00,6013
28-Jan-00,5988
4-Feb-00,6011
11-Feb-00,5994
18-Feb-00,5989
25-Feb-00,6007
3-Mar-00,5974
10-Mar-00,5857
17-Mar-00,5859
24-Mar-00,5863
31-Mar-00,5873
7-Apr-00,5820
14-Apr-00,5840
21-Apr-00,5836
28-Apr-00,5838
5-May-00,5798
12-May-00,5757
19-May-00,5793
26-May-00,5784
2-Jun-00,5704
9-Jun-00,5804
16-Jun-00,5791
23-Jun-00,5726
30-Jun-00,5732
7-Jul-00,5766
14-Jul-00,5788
21-Jul-00,5769
28-Jul-00,5764
4-Aug-00,5778
11-Aug-00,5745
18-Aug-00,5773
25-Aug-00,5782
1-Sep-00,5783
8-Sep-00,5802
15-Sep-00,5803
22-Sep-00,5680
29-Sep-00,5862
6-Oct-00,5867
13-Oct-00,5864
20-Oct-00,5880
27-Oct-00,5894
3-Nov-00,5903
10-Nov-00,5889
17-Nov-00,5854
24-Nov-00,5883
1-Dec-00,5925
8-Dec-00,5903
15-Dec-00,5897
