,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
133,1993-06-04,06-1993,4440.0,152.1,7.0,16676,5807,6789,19.95,19.43
134,1993-06-11,06-1993,4440.0,152.1,7.0,16674,7341,6817,19.43,18.76
135,1993-06-18,06-1993,4440.0,152.1,7.0,17393,7764,6766,18.76,18.52
136,1993-06-25,06-1993,4440.0,152.1,7.0,16699,6658,6749,18.52,18.61
137,1993-07-02,07-1993,4468.9,152.3,6.9,17931,6121,6742,18.61,18.02
138,1993-07-09,07-1993,4468.9,152.3,6.9,16716,6629,6772,18.02,17.72
139,1993-07-16,07-1993,4468.9,152.3,6.9,17689,8226,6643,17.72,17.54
140,1993-07-23,07-1993,4468.9,152.3,6.9,17771,5510,6540,17.54,18.18
141,1993-07-30,07-1993,4468.9,152.3,6.9,16717,6369,6730,18.18,17.67
142,1993-08-06,08-1993,4481.1,152.8,6.8,18595,6784,6753,17.67,17.87
143,1993-08-13,08-1993,4481.1,152.8,6.8,17752,6277,6761,17.87,17.84
144,1993-08-20,08-1993,4481.1,152.8,6.8,18190,5974,6774,17.84,18.49
145,1993-08-27,08-1993,4481.1,152.8,6.8,17330,7698,6790,18.49,18.1
146,1993-09-03,09-1993,4511.5,152.9,6.7,16367,6429,6734,18.1,16.96
147,1993-09-10,09-1993,4511.5,152.9,6.7,17653,6186,6665,16.96,16.94
148,1993-09-17,09-1993,4511.5,152.9,6.7,17292,6469,6706,16.94,17.67
149,1993-09-24,09-1993,4511.5,152.9,6.7,17282,6429,6650,17.67,18.33
150,1993-10-01,10-1993,4532.8,153.4,6.8,17326,6264,6684,18.33,18.46
151,1993-10-08,10-1993,4532.8,153.4,6.8,17069,6763,6654,18.46,18.57
152,1993-10-15,10-1993,4532.8,153.4,6.8,18316,7513,6772,18.57,18.12
153,1993-10-22,10-1993,4532.8,153.4,6.8,17343,6639,6837,18.12,17.37
154,1993-10-29,10-1993,4532.8,153.4,6.8,17207,7180,6868,17.37,17.29
155,1993-11-05,11-1993,4554.1,153.9,6.6,17859,5648,6872,17.29,16.71
156,1993-11-12,11-1993,4554.1,153.9,6.6,17134,7942,6882,16.71,16.75
157,1993-11-19,11-1993,4554.1,153.9,6.6,18031,6624,6847,16.75,16.08
158,1993-11-26,11-1993,4554.1,153.9,6.6,16341,5620,6878,16.08,15.21
159,1993-12-03,12-1993,4571.1,154.3,6.5,16879,7748,6943,15.21,14.68
160,1993-12-10,12-1993,4571.1,154.3,6.5,18435,7249,6923,14.68,14.31
161,1993-12-17,12-1993,4571.1,154.3,6.5,18538,6635,6897,14.31,14.4
162,1993-12-24,12-1993,4571.1,154.3,6.5,16958,5727,6854,14.4,14.21
163,1993-12-31,12-1993,4571.1,154.3,6.5,17178,6758,6857,14.21,15.03
164,1994-01-07,01-1994,4585.1,154.5,6.6,17837,6598,6875,15.03,14.67
165,1994-01-14,01-1994,4585.1,154.5,6.6,17878,6037,6880,14.67,15.02
166,1994-01-21,01-1994,4585.1,154.5,6.6,18020,5618,6845,15.02,15.34
167,1994-01-28,01-1994,4585.1,154.5,6.6,19126,5877,6886,15.34,15.76
168,1994-02-04,02-1994,4632.6,154.8,6.6,17827,7067,6836,15.76,14.87
169,1994-02-11,02-1994,4632.6,154.8,6.6,18288,5978,6802,14.87,14.13
170,1994-02-18,02-1994,4632.6,154.8,6.6,18229,6429,6546,14.13,14.44
171,1994-02-25,02-1994,4632.6,154.8,6.6,17104,5954,6792,14.44,14.68
172,1994-03-04,03-1994,4646.0,155.3,6.5,17384,6095,6763,14.68,14.24
173,1994-03-11,03-1994,4646.0,155.3,6.5,16848,5696,6704,14.24,14.82
174,1994-03-18,03-1994,4646.0,155.3,6.5,17245,7598,6728,14.82,15.15
175,1994-03-25,03-1994,4646.0,155.3,6.5,16880,5646,6599,15.15,14.44
176,1994-04-01,04-1994,4671.1,155.5,6.4,19815,6731,6683,14.44,15.65
177,1994-04-08,04-1994,4671.1,155.5,6.4,17495,6881,6641,15.65,16.07
178,1994-04-15,04-1994,4671.1,155.5,6.4,16689,6495,6711,16.07,17.02
179,1994-04-22,04-1994,4671.1,155.5,6.4,17145,7763,6292,17.02,16.93
180,1994-04-29,04-1994,4671.1,155.5,6.4,17937,7303,6748,16.93,17.2
181,1994-05-06,05-1994,4669.5,155.9,6.1,16811,7657,6706,17.2,17.93
182,1994-05-13,05-1994,4669.5,155.9,6.1,16683,7347,6657,17.93,18.21
183,1994-05-20,05-1994,4669.5,155.9,6.1,18131,6627,6732,18.21,18.14
184,1994-05-27,05-1994,4669.5,155.9,6.1,18426,6674,6629,18.14,18.24
